"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[15,20)",0.00179655740157165,0.000406017906010356,0.00491833290723388,0.000627090005883126,0.000126737453743255,9.60247479689466e-05,0.0030418324505734,0.00168245258926396,0.0178131699342814,0.00792300309989988,"female","hispanic"
"[15,20)",0.00174111181236315,0.000494161320311984,0.00356567837782126,0.000583881421102444,5.44819165960145e-05,5.48196254252156e-05,0.00292741790468345,0.0017938507160014,0.0370816053883497,0.0133290910870345,"male","hispanic"
"[15,20)",0.00298828346352336,0.000655148432398516,0.00827320743110687,0.00106409994940035,0.000258142773485691,0.000206588296163936,0.00241093005839863,0.00173884593499046,0.0201835567616167,0.012326629922744,"female","non-hispanic black"
"[15,20)",0.00254138810057812,0.000679930764662305,0.00544838256295047,0.00105230583107632,0.000171621114345494,0.000142987227016631,0.0100954752689782,0.00763134837477231,0.0223238929136728,0.00905969485677359,"male","non-hispanic black"
"[15,20)",0.00176533562881812,0.000182808788344706,0.00417729989098232,0.00029123227896481,3.05041173380696e-05,1.71223465924739e-05,0.00253815784502647,0.000942511361834837,0.0210060277438626,0.00538375079064534,"female","non-hispanic white"
"[15,20)",0.00200572096825287,0.000195150334634661,0.00450521651920764,0.000268568518355308,5.07363406453671e-05,3.36173114303804e-05,0.00458354344908696,0.00150290842777746,0.00918190430547942,0.00315330523637602,"male","non-hispanic white"
"[20,25)",0.00261910695155352,0.000559373539690443,0.00616658945940825,0.00086074497103251,0.000215522205937499,0.000129726697123895,0.00307038607445052,0.00159365822429279,0.014728224506755,0.00536867466445476,"female","hispanic"
"[20,25)",0.00211142330208478,0.0004286980016837,0.00504037508640553,0.000853482382132096,2.67472268321008e-05,2.72752248955359e-05,0.00534059057553493,0.00250050098172703,0.0284119297268459,0.0147244667558244,"male","hispanic"
"[20,25)",0.00440437231765703,0.000846723025012778,0.00707936692712211,0.00112925353915256,0.000395146165151033,0.000301446075665095,0.0110791576648146,0.00321415929364602,0.0199023896003007,0.00768718882886159,"female","non-hispanic black"
"[20,25)",0.00465489764187297,0.00111581117564591,0.0071152781717239,0.00157218144354863,0.00055619068255687,0.000429217153310127,0.0142542420377663,0.00622779670393974,0.0120509848057761,0.00660675381126982,"male","non-hispanic black"
"[20,25)",0.00263518729688567,0.000239641476480451,0.0066112951890782,0.000377684795831999,0.000128266994076453,5.44567728748493e-05,0.00445450665143326,0.000972080463491252,0.0152519933158897,0.00313311549367909,"female","non-hispanic white"
"[20,25)",0.00186760611010821,0.000165379748759583,0.00563767122047113,0.000355845030506937,5.87775146860791e-05,3.8319941630996e-05,0.00788807443280046,0.00166312522691544,0.0165611220578832,0.00464836715034426,"male","non-hispanic white"
"[25,30)",0.00482629106521804,0.00080500663549677,0.00814335618998746,0.000905923276883667,0,0,0.0086631765838409,0.00222914006452447,0.0141767397853081,0.00476123011134937,"female","hispanic"
"[25,30)",0.004194485944644,0.000743863130132054,0.00594966552694772,0.00092747331963409,0,0,0.00924325805342058,0.00340273562665004,0.0111997826041819,0.00580861104018684,"male","hispanic"
