"sex","race","x","name","value"
"all","all","[9,10)","mx_lost_none_to_lost_dad",0
"all","all","[9,10)","mx_lost_none_to_lost_both",0
"all","all","[9,10)","mx_lost_dad_to_lost_both",0
"all","all","[9,10)","mx_lost_mom_to_lost_both",0
"all","all","[9,10)","Lx_lost_mom",243.670324207791
"all","all","[9,10)","Lx_lost_dad",818.338387634247
"all","all","[9,10)","Lx_lost_both",0
"all","all","[9,10)","Lx_lost_none",98265.678788158
"all","all","[9,10)","dx_lost_mom_to_dead",0.0225353471275433
"all","all","[9,10)","dx_lost_dad_to_dead",0.0756823371622624
"all","all","[9,10)","dx_lost_both_to_dead",0
"all","all","[9,10)","dx_lost_none_to_dead",9.08789853427709
"all","all","[9,10)","dx_lost_none_to_lost_mom",0
"all","all","[9,10)","dx_lost_none_to_lost_dad",0
"all","all","[9,10)","dx_lost_none_to_lost_both",0
"all","all","[9,10)","dx_lost_mom_to_lost_both",0
"all","all","[9,10)","dx_lost_dad_to_lost_both",0
"all","all","[9,10)","ex_lost_none",37.6165818915857
"all","all","[9,10)","ex_lost_mom",3.0694545467482
"all","all","[9,10)","ex_lost_dad",8.86639140830965
"all","all","[9,10)","ex_lost_both",18.9540475932311
"all","all","[9,10)","ex",68.5064754398746
"all","all","[9,10)","lx_lost_mom",-0.443448821035012
"all","all","[9,10)","lx_lost_dad",262.169740647424
"all","all","[9,10)","lx_lost_both",119.445672957746
"all","all","[9,10)","lx_lost_none",98951.117858748
"all","all","[10,11)","lx",99323.09375
"all","all","[10,11)","dx",9.0298433303833
"all","all","[10,11)","Lx",99318.578125
"all","all","[10,11)","pr_lost_none",0.980772719843739
"all","all","[10,11)","pr_lost_mom",0.00206881598530669
"all","all","[10,11)","pr_lost_dad",0.017158464170954
"all","all","[10,11)","pr_lost_both",0
"all","all","[10,11)","mx_lost_none_to_lost_mom",0
"all","all","[10,11)","mx_lost_none_to_lost_dad",0.00125055597852037
"all","all","[10,11)","mx_lost_none_to_lost_both",0
"all","all","[10,11)","mx_lost_dad_to_lost_both",0
"all","all","[10,11)","mx_lost_mom_to_lost_both",0
"all","all","[10,11)","Lx_lost_mom",205.471862062932
"all","all","[10,11)","Lx_lost_dad",1704.15426426791
"all","all","[10,11)","Lx_lost_both",0
"all","all","[10,11)","Lx_lost_none",97408.9519986692
"all","all","[10,11)","dx_lost_mom_to_dead",0.018681084226712
"all","all","[10,11)","dx_lost_dad_to_dead",0.15493824325371
"all","all","[10,11)","dx_lost_both_to_dead",0
"all","all","[10,11)","dx_lost_none_to_dead",8.85622400290288
"all","all","[10,11)","dx_lost_none_to_lost_mom",0
"all","all","[10,11)","dx_lost_none_to_lost_dad",121.804272079466
"all","all","[10,11)","dx_lost_none_to_lost_both",0
"all","all","[10,11)","dx_lost_mom_to_lost_both",0
"all","all","[10,11)","dx_lost_dad_to_lost_both",0
"all","all","[10,11)","ex_lost_none",36.6307076830305
"all","all","[10,11)","ex_lost_mom",3.06728516496171
"all","all","[10,11)","ex_lost_dad",8.85897240444308
"all","all","[10,11)","ex_lost_both",18.9558008643556
"all","all","[10,11)","ex",67.5127661167909
"all","all","[10,11)","lx_lost_mom",-0.465984168162556
"all","all","[10,11)","lx_lost_dad",262.094058310261
"all","all","[10,11)","lx_lost_both",119.445672957746
"all","all","[10,11)","lx_lost_none",98942.0299602137
"all","all","[11,12)","lx",99314.0625
"all","all","[11,12)","dx",10.2425756454468
"all","all","[11,12)","Lx",99308.9375
"all","all","[11,12)","pr_lost_none",0.97839331989147
"all","all","[11,12)","pr_lost_mom",0.00183389237822943
"all","all","[11,12)","pr_lost_dad",0.0176116176372319
"all","all","[11,12)","pr_lost_both",0.00216117009306798
"all","all","[11,12)","mx_lost_none_to_lost_mom",0
"all","all","[11,12)","mx_lost_none_to_lost_dad",0
"all","all","[11,12)","mx_lost_none_to_lost_both",0
"all","all","[11,12)","mx_lost_dad_to_lost_both",0.0573854001610557
"all","all","[11,12)","mx_lost_mom_to_lost_both",0
"all","all","[11,12)","Lx_lost_mom",182.121903571312
"all","all","[11,12)","Lx_lost_dad",1748.99103520976
"all","all","[11,12)","Lx_lost_both",214.623505699357
"all","all","[11,12)","Lx_lost_none",97163.2010555195
"all","all","[11,12)","dx_lost_mom_to_dead",0.0187837814096232
"all","all","[11,12)","dx_lost_dad_to_dead",0.180388325888033
"all","all","[11,12)","dx_lost_both_to_dead",0.0221359481609261
"all","all","[11,12)","dx_lost_none_to_dead",10.0212675899882
"all","all","[11,12)","dx_lost_none_to_lost_mom",0
"all","all","[11,12)","dx_lost_none_to_lost_dad",0
"all","all","[11,12)","dx_lost_none_to_lost_both",0
"all","all","[11,12)","dx_lost_mom_to_lost_both",0
"all","all","[11,12)","dx_lost_dad_to_lost_both",100.356198777346
"all","all","[11,12)","ex_lost_none",35.6532214290581
"all","all","[11,12)","ex_lost_mom",3.0654951823707
"all","all","[11,12)","ex_lost_dad",8.84261876197941
"all","all","[11,12)","ex_lost_both",18.9575246341043
"all","all","[11,12)","ex",66.5188600075125
"all","all","[11,12)","lx_lost_mom",-0.484665252389268
"all","all","[11,12)","lx_lost_dad",383.743392146473
"all","all","[11,12)","lx_lost_both",119.445672957746
"all","all","[11,12)","lx_lost_none",98811.3694641313
"all","all","[12,13)","lx",99303.8203125
"all","all","[12,13)","dx",13.7150468826294
"all","all","[12,13)","Lx",99296.9609375
"all","all","[12,13)","pr_lost_none",0.969857786440063
"all","all","[12,13)","pr_lost_mom",0.00953802639342673
"all","all","[12,13)","pr_lost_dad",0.0206041871665097
"all","all","[12,13)","pr_lost_both",0
"all","all","[12,13)","mx_lost_none_to_lost_mom",0
"all","all","[12,13)","mx_lost_none_to_lost_dad",0.00683231590669946
"all","all","[12,13)","mx_lost_none_to_lost_both",0
"all","all","[12,13)","mx_lost_dad_to_lost_both",0
"all","all","[12,13)","mx_lost_mom_to_lost_both",0
"all","all","[12,13)","Lx_lost_mom",947.097034208938
"all","all","[12,13)","Lx_lost_dad",2045.93316822186
"all","all","[12,13)","Lx_lost_both",0
"all","all","[12,13)","Lx_lost_none",96303.9307350692
"all","all","[12,13)","dx_lost_mom_to_dead",0.130814479153604
"all","all","[12,13)","dx_lost_dad_to_dead",0.282587392967152
"all","all","[12,13)","dx_lost_both_to_dead",0
"all","all","[12,13)","dx_lost_none_to_dead",13.3016450105086
"all","all","[12,13)","dx_lost_none_to_lost_mom",0
"all","all","[12,13)","dx_lost_none_to_lost_dad",657.887996798106
"all","all","[12,13)","dx_lost_none_to_lost_both",0
"all","all","[12,13)","dx_lost_mom_to_lost_both",0
"all","all","[12,13)","dx_lost_dad_to_lost_both",0
"all","all","[12,13)","ex_lost_none",34.6784549621483
"all","all","[12,13)","ex_lost_mom",3.06397737040074
"all","all","[12,13)","ex_lost_dad",8.8259182637444
"all","all","[12,13)","ex_lost_both",18.9573186301077
"all","all","[12,13)","ex",65.5256692264011
"all","all","[12,13)","lx_lost_mom",-0.503449033798891
"all","all","[12,13)","lx_lost_dad",283.20680504324
"all","all","[12,13)","lx_lost_both",219.77973578693
"all","all","[12,13)","lx_lost_none",98801.3481965413
"all","all","[13,14)","lx",99290.1015625
"all","all","[13,14)","dx",19.9806632995605
"all","all","[13,14)","Lx",99280.109375
"all","all","[13,14)","pr_lost_none",0.973487117376373
"all","all","[13,14)","pr_lost_mom",0.00688696626088522
"all","all","[13,14)","pr_lost_dad",0.0196259163627415
"all","all","[13,14)","pr_lost_both",0
"all","all","[13,14)","mx_lost_none_to_lost_mom",0
"all","all","[13,14)","mx_lost_none_to_lost_dad",0.00198205265819146
"all","all","[13,14)","mx_lost_none_to_lost_both",0
"all","all","[13,14)","mx_lost_dad_to_lost_both",0
"all","all","[13,14)","mx_lost_mom_to_lost_both",0
"all","all","[13,14)","Lx_lost_mom",683.73876364262
"all","all","[13,14)","Lx_lost_dad",1948.46312307758
"all","all","[13,14)","Lx_lost_both",0
"all","all","[13,14)","Lx_lost_none",96647.9074882798
"all","all","[13,14)","dx_lost_mom_to_dead",0.137606154014181
"all","all","[13,14)","dx_lost_dad_to_dead",0.392138826789273
"all","all","[13,14)","dx_lost_both_to_dead",0
"all","all","[13,14)","dx_lost_none_to_dead",19.450918318757
"all","all","[13,14)","dx_lost_none_to_lost_mom",0
"all","all","[13,14)","dx_lost_none_to_lost_dad",191.522689201429
"all","all","[13,14)","dx_lost_none_to_lost_both",0
