"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"non-hispanic white","female",38,7103.2525133,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",40,7103.2525133,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",14,11492.715122,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",11,9791.3143348,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",58,5522.1276649,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",37,5522.1276649,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",48,13474.684676,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",16,12667.311886,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",62,6438.6021357,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",46,8900.9552152,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",47,8900.9552152,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","male",27,10727.262666,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",33,5414.1760185,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",33,5414.1760185,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",7,7959.3040257,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",6,8327.3636269,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",86,6127.6392059,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",34,12327.000323,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",31,15897.316671,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic black","female",12,9426.7928716,1,0,0,0,1,0,0,0,0,0,0,0
