"x","pr_lost_none","se_pr_lost_none","pr_lost_mom","se_pr_lost_mom","pr_lost_dad","se_pr_lost_dad","pr_lost_both","se_pr_lost_both","sex","race"
"[50,51)",0.442190681835708,0.0334464370259839,0.111524631037474,0.020288787229491,0.279060399288836,0.0294527344678435,0.167224287837982,0.025346654001664,"female","all"
"[50,51)",0.551749581284642,0.0343443418013477,0.111182012337905,0.0215237883779902,0.253492834063943,0.0295211779537582,0.0835755723135113,0.0212657091101215,"male","all"
"[51,52)",0.477968517262296,0.0312614806707168,0.104442667046101,0.0194639272840953,0.249497269532805,0.02893370687839,0.168091546158799,0.0246931416976523,"female","all"
"[51,52)",0.402876031775585,0.032778181046815,0.123666181318928,0.0235480736638717,0.281764969169868,0.0294117190617659,0.191692817735618,0.0269452044383019,"male","all"
"[52,53)",0.413057029219446,0.0327162335040596,0.10936705637337,0.0223103050051706,0.253271087988489,0.0277561930556713,0.224304826418694,0.0323229617713248,"female","all"
"[52,53)",0.425687740060324,0.0321391276555771,0.0815494369631064,0.0158563422251826,0.264019090560391,0.0305987660118283,0.228743732416179,0.0320936893035655,"male","all"
"[53,54)",0.331465307987338,0.0267216779821895,0.105209792327094,0.0185665855190419,0.294019773790041,0.0289246040198925,0.269305125895528,0.0291390248747229,"female","all"
"[53,54)",0.396548809479211,0.0353756341359125,0.105451103854729,0.0217349145833211,0.280989744274546,0.0355005112444616,0.217010342391515,0.0271443992142377,"male","all"
"[54,55)",0.275789342253439,0.0328084201559702,0.13047873439486,0.0236733500518039,0.323873222473258,0.033226008137874,0.269858700878444,0.0323058155846631,"female","all"
"[54,55)",0.394032101748867,0.0347158602158818,0.08651787172774,0.0171111964135844,0.267390493237719,0.028809969638353,0.252059533285674,0.0299376358570443,"male","all"
"[55,56)",0.270562925513858,0.0267831295657444,0.0887480031853677,0.0185939184369322,0.262651191830321,0.0274983684452287,0.378037879470454,0.0317631133692197,"female","all"
"[55,56)",0.289832252646164,0.0282200719523237,0.0722303394833209,0.0160019446695822,0.30312739469603,0.0306639420336451,0.334810013174484,0.02940028711409,"male","all"
"[56,57)",0.287675711534475,0.0301454161209408,0.0627435011284955,0.0130053790619534,0.316813833417191,0.0313693716616277,0.332766953919838,0.0328606478691625,"female","all"
"[56,57)",0.247939877996982,0.0261697050088013,0.100751039605224,0.0183346163640754,0.316550077920735,0.0303239004667237,0.334759004477059,0.0313676648439843,"male","all"
"[57,58)",0.268642836412956,0.0234259364740284,0.0705572252709179,0.0181481480303903,0.301768189793142,0.0278861344883346,0.359031748522984,0.0303131008261374,"female","all"
"[57,58)",0.253986917700146,0.0285948324063708,0.100299163294614,0.0188121629428587,0.269139839769615,0.0306122038142488,0.376574079235625,0.0317471569348141,"male","all"
"[58,59)",0.217969260437526,0.0257288502124031,0.0969738944748817,0.0176411189553749,0.280509472987259,0.026370694123695,0.404547372100334,0.0289211008159001,"female","all"
