ind,race,x,transition,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat,svy_mean,svy_se
"1,11,5",hispanic,50,lost_dad_to_lost_both,0.04019049495225238,6.254992855367415e-5,0.0047222674284883885,0.031683407150913466,0.03299701926587974,0.03447180443475268,0.03691041848454417,0.03990037605816474,0.04327088581913506,0.0463166179652315,0.04840751083867296,0.049990358418268446,5699.6412421866235,1.000046638779201,0.0458431968596668,0.00445208147024467
"1,12,1",hispanic,55,lost_none_to_lost_mom,0.026236090644339252,6.910996040171282e-5,0.003569843106639746,0.019846524272933926,0.020782342659988417,0.021862865366606792,0.023783625416062163,0.026009824823466494,0.028438201810412324,0.030948911647450405,0.032447649259312074,0.03378891173582242,2668.1913421708427,1.0007670284304706,0.0258308993995112,0.00472341067431464
"1,12,2",hispanic,55,lost_none_to_lost_dad,0.052386754219736494,9.196884445829448e-5,0.0065802068470547075,0.040449970789998624,0.04225912236672284,0.044233061979454695,0.04781583652555946,0.05207399417176116,0.05657618290579392,0.06080434892768337,0.06370390022659747,0.06627649448812288,5119.147366013446,0.9994765850961821,0.0585067751479439,0.00638197058890899
"1,12,3",hispanic,55,lost_none_to_lost_both,0.0024677493077817133,2.9646080085732476e-5,0.0010046188735957624,8.322182414389703e-4,0.0010493702451609445,0.0012868611076755352,0.001740633924384709,0.0023420154865598473,0.0030687322670177953,0.0038298488947325297,0.004293440880254598,0.004723905893277983,1148.3337018001089,1.001286208440883,0.00488253077418776,0.00225939005155538
"1,12,4",hispanic,55,lost_mom_to_lost_both,0.09571577474967877,1.833521711092101e-4,0.012372484244931294,0.07335982672381795,0.0765741450221126,0.08025180715106596,0.08722208764488844,0.09508322766894653,0.10354823239267646,0.11168333153100465,0.11703160063059809,0.12135681166152518,4553.461879555882,0.9999550159921258,0.0858823881948834,0.0133205056354924
"1,12,5",hispanic,55,lost_dad_to_lost_both,0.05833322448983922,9.372316577807048e-5,0.007121740020406114,0.04549506534009029,0.04732663820172963,0.04950581134324429,0.05334843160087187,0.058050024472306574,0.06283809340673897,0.06761809553661997,0.07047537428228627,0.07314411025994838,5774.020638023499,1.0004274614472801,0.0426192106964963,0.00499983589076292
"1,13,1",hispanic,60,lost_none_to_lost_mom,0.03648298324774554,1.0388543341225721e-4,0.005305281118454286,0.02691998666513134,0.028387360334405438,0.02998723280264435,0.0328397877319806,0.03617738537256345,0.03978340831117999,0.04349960765274734,0.04552625787226986,0.04771336526577299,2607.9994221715033,1.0000336273877144,0.0449526658375229,0.00859413759565445
"1,13,2",hispanic,60,lost_none_to_lost_dad,0.07191952228355418,1.3388298662561608e-4,0.009409585358916513,0.05472870637167653,0.05723984186403208,0.0602572631167147,0.06549285247770778,0.0715098623039962,0.0778291846935338,0.08382451969447902,0.08823088813024658,0.09191844464324847,4939.581879475851,0.9998871160923813,0.0710783007839316,0.0111631609664906
"1,13,3",hispanic,60,lost_none_to_lost_both,0.003852617123453141,5.355979044630957e-5,0.0018259096574520341,0.0011196251003691175,0.0014176832168862363,0.001786362515375724,0.0025280071985580434,0.0035649939262515718,0.0048486884252010665,0.006281781050679276,0.007300365330874577,0.008137510652115857,1162.1998980579287,1.0008005895381107,0.0185874443924038,0.00523046657783044
"1,13,4",hispanic,60,lost_mom_to_lost_both,0.12766167339451684,2.995175262504059e-4,0.0182524660741264,0.094757567169876,0.0995670928444982,0.10517522261406174,0.11509656227511547,0.1266232253166339,0.1390822559487739,0.15125250198453769,0.15939841960398776,0.1664644867281063,3713.629896549229,1.0010643049069166,0.140114787236431,0.015353268868035
"1,13,5",hispanic,60,lost_dad_to_lost_both,0.08471562212697265,1.6521429470638937e-4,0.01116462894821273,0.06409785982892993,0.06731599064002033,0.07098262444537193,0.07720253140547212,0.08413875271755927,0.09157273449045775,0.09908306218426158,0.10389611957460144,0.10829224360265409,4566.603935951835,0.9997369950280983,0.102225368211316,0.00742615496677981
"2,1,1",non-hispanic black,0,lost_none_to_lost_mom,0.0010178248513953595,3.0163017741141433e-6,1.623548450879415e-4,7.313593224571996e-4,7.71835707446893e-4,8.170846798474514e-4,9.011343373747239e-4,0.0010092889791215609,0.0011208471105513878,0.0012275626750000183,0.0013031412404031484,0.0013656581015124142,2897.2163550076034,1.0001004502863793,9.0038929284007e-4,2.1072068106273e-4
"2,1,2",non-hispanic black,0,lost_none_to_lost_dad,0.0025942368163702424,5.075179889649201e-6,3.5315261115830335e-4,0.0019830309754225966,0.0020687548351859186,0.002164689732471068,0.0023477716517985078,0.002567476269099587,0.002816341399003621,0.003062897900967058,0.003216803151198061,0.003344179772286728,4841.968531457946,0.9999577785016054,0.0029507050556982,4.1036179822219e-4
"2,1,3",non-hispanic black,0,lost_none_to_lost_both,3.4743439481011935e-5,3.948592523276964e-7,1.554824993111531e-5,1.0985862137193712e-5,1.3425163141892937e-5,1.6514632906060685e-5,2.3296224323661943e-5,3.246428980812652e-5,4.40298186848509e-5,5.585970128028353e-5,6.353128558275127e-5,7.09425125781971e-5,1550.5236273155017,1.0001715772153743,1.3726180239741e-4,7.49427927709066e-5
"2,1,4",non-hispanic black,0,lost_mom_to_lost_both,0.005531664870412868,2.5445033613238015e-5,0.001297091122112264,0.003350713816673143,0.003647888004312451,0.003983172981271492,0.0046273692927120864,0.005399976367093148,0.006319537882657884,0.007236623169598735,0.007846583317278964,0.008407802066858634,2598.572964986025,1.0006945219511214,NA,NA
"2,1,5",non-hispanic black,0,lost_dad_to_lost_both,0.0011876088746258335,7.657479423122874e-6,3.40377527523892e-4,6.374445455867223e-4,7.110903268962299e-4,7.928391449555295e-4,9.406713110015742e-4,0.001146507070623767,0.001388859415518789,0.0016299075041568897,0.0017947597744200348,0.0019605768440140335,1975.832303792157,1.002085873626129,NA,NA
